DeletionFlag,StreetName,Address,ZipCode,X_COORD,Y_COORD
,ROCK RIMMON RD,1148,06903,-73.58407045,41.15963399
,ROCK RIMMON RD,840,06903,-73.57577139,41.16029699
,THORNWOOD RD,240,06903,-73.54406879,41.16059498
,RUSSET RD,12,06903,-73.56095689,41.16046696
,ROCK RIMMON RD,1159,06903,-73.58581199,41.15975184
,HIGH RIDGE RD,2745,06903,-73.55999645,41.16052114
,WINESAP RD,187,06903,-73.57020813,41.16018515
,ROCK RIMMON RD,1156,06903,-73.58484692,41.15972423
,WYNNEWOOD LN,5,06903,-73.55293294,41.16006333
,APPLE VALLEY RD,65,06903,-73.57185993,41.16008486
,ROCK RIMMON RD,1173,06903,-73.58615372,41.15996369
,WOODBINE RD,401,06903,-73.54507388,41.1601164
,BRIAR BRAE RD,107,06903,-73.56430156,41.15978223
,WYNNEWOOD LN,32,06903,-73.55142655,41.15990204
,BRIAR BRAE RD,93,06903,-73.56295478,41.15986455
,WINESAP RD,191,06903,-73.57037117,41.15952771
,ROCK RIMMON RD,809,06903,-73.57369257,41.15975285
,ROCK RIMMON RD,811,06903,-73.57325224,41.15976409
,THORNWOOD RD,227,06903,-73.54208789,41.16019851
,ROCK RIMMON RD,1287,06903,-73.59091502,41.15932016
,ROCK RIMMON RD,817,06903,-73.57461544,41.15964091
,APPLE VALLEY RD,43,06903,-73.57107778,41.15988148
,WINESAP RD,189,06903,-73.56930441,41.16000847
,LONG RIDGE RD,2891,06903,-73.59610177,41.15975968
,FERNWOOD DR,12,06903,-73.54640365,41.16010131
